channel,feature,reference_value,mean_abs_score_delta,max_abs_score_delta,rows_evaluated,interpretation
channel_38,rolling_margin_24,-0.0003148216443757193,0.006998732325559589,0.1224191458801509,5000,model sensitivity evidence; non-causal
channel_38,rolling_abs_z_24,0.35184465648669083,0.007712437917361944,0.2393584092925079,5000,model sensitivity evidence; non-causal
channel_39,value,0.30589762330055237,0.02074974037646825,0.06517127021289654,5000,model sensitivity evidence; non-causal
channel_39,delta_1,0.0,0.007453654141438676,0.1344023546196208,5000,model sensitivity evidence; non-causal
channel_39,rolling_mean_24,0.30541478966673213,0.012690249815544124,0.04465774993394023,5000,model sensitivity evidence; non-causal
channel_39,rolling_std_24,0.0011277393805397672,0.013081833812266666,0.13084928347103675,5000,model sensitivity evidence; non-causal
channel_39,rolling_margin_24,-0.00030123814940452576,0.00863222774150353,0.10951401271549321,5000,model sensitivity evidence; non-causal
channel_39,rolling_abs_z_24,0.354169874735872,0.007874823825730924,0.20889612264396623,5000,model sensitivity evidence; non-causal
channel_40,value,0.768608033657074,0.01601437381054544,0.07434100475580052,5000,model sensitivity evidence; non-causal
channel_40,delta_1,0.0,0.007700506247756629,0.13340901370432767,5000,model sensitivity evidence; non-causal
channel_40,rolling_mean_24,0.7685312132040659,0.01030332472808116,0.05797190212560577,5000,model sensitivity evidence; non-causal
channel_40,rolling_std_24,0.0015013004313353738,0.013766805178538854,0.15798659896953227,5000,model sensitivity evidence; non-causal
channel_40,rolling_margin_24,-0.00038306911786401,0.009379672094066276,0.11835613038094084,5000,model sensitivity evidence; non-causal
channel_40,rolling_abs_z_24,0.3495702332826592,0.006601662760809953,0.20633943228731189,5000,model sensitivity evidence; non-causal
channel_41,value,0.8110092282295227,0.014312759352762237,0.0781763660140839,5000,model sensitivity evidence; non-causal
channel_41,delta_1,0.0,0.009674845102087598,0.13109012286618482,5000,model sensitivity evidence; non-causal
